code_a,code_b,n_both,n_a,n_b,support,lift,conf_a_to_b,conf_b_to_a,leverage,jaccard,odds_ratio,se_log_or,or_ci_low,or_ci_high,z_stat,z_crit,desc_a,ccsr_a,ccsr_desc_a,chapter_a,desc_b,ccsr_b,ccsr_desc_b,chapter_b,same_ccsr,same_icd3,same_chapter,definitional,context_code,wrapper_code,adverse_effect_pair,same_concept_text,structural,obstetric
D649,Z87891,111622,536954,1189002,0.015757350745820926,1.2385020513990572,0.20788000461864517,0.0938787319113004,0.0030344402524383352,0.0691443034712767,1.33229202812073,0.0035243267818754523,1.3079766963360033,1.3570593827598834,81.40584178937964,5.226346176164583,"Anemia, unspecified",BLD003,Aplastic anemia,Blood/immune,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
I130,Z87891,111548,398706,1189002,0.01574690438260229,1.6668366045243188,0.2797750723590816,0.09381649484189261,0.006299725013094662,0.07556633427270756,2.021732395739355,0.0036815145212668846,1.983204352016949,2.0610089302320476,191.21336109159054,5.226346176164583,Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny,CIR019,Heart failure,Circulatory,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
E785,J441,111541,1768237,287758,0.015745916213108634,1.5528633897429582,0.06308034499900184,0.3876208480737286,0.005605992561669458,0.0573636609557233,1.9635990439217086,0.003929155919176463,1.9236874812882057,2.0043386687260902,171.73638567194703,5.226346176164583,"Hyperlipidemia, unspecified",END010,Disorders of lipid metabolism,Endocrine/metabolic,Chronic obstructive pulmonary disease w (acute) exacerbation,RSP008,Chronic obstructive pulmonary disease and bronchiectasis,Respiratory,False,False,False,False,False,False,False,False,False,False
J449,N179,111464,530930,899456,0.01573504634867843,1.6534232217328637,0.20994104684233325,0.12392379393766899,0.0062183986193769265,0.08451144191999224,1.9440513904563674,0.003577423445739954,1.9080414321671237,1.9807409551074708,185.82484047293931,5.226346176164583,"Chronic obstructive pulmonary disease, unspecified",RSP008,Chronic obstructive pulmonary disease and bronchiectasis,Respiratory,"Acute kidney failure, unspecified",GEN002,Acute and unspecified renal failure,Genitourinary,False,False,False,False,False,False,False,False,False,False
I480,Z87891,110629,375871,1189002,0.015617171844792452,1.7535339547165198,0.294327043054665,0.09304357772316615,0.00671105867670318,0.0760732036714609,2.1773748282754486,0.003730183832351817,2.1353374959996,2.2202397287030204,208.60096416674386,5.226346176164583,Paroxysmal atrial fibrillation,CIR017,Cardiac dysrhythmias,Circulatory,Personal history of nicotine dependence,XXX000,Unacceptable PDX,Factors/status,False,False,False,False,False,False,False,False,False,False
I10,I252,110511,1922540,342792,0.015600514130470842,1.1878621496786679,0.05748176890987964,0.3223850031505986,0.002467244302241208,0.05128546640300981,1.2941512630490137,0.0037561552312001846,1.2689935645305712,1.3198077109799318,68.64867639529321,5.226346176164583,Essential (primary) hypertension,CIR007,Essential hypertension,Circulatory,Old myocardial infarction,CIR011,Coronary atherosclerosis and other heart disease,Circulatory,False,False,True,False,False,False,False,False,False,False
F329,N179,110377,725159,899456,0.015581597743020877,1.1987593814642965,0.15221075653753177,0.12271528568379109,0.002583494884390648,0.07289276850798884,1.2672426109420396,0.00348328229508195,1.2443813869353522,1.290523831236498,67.99430752601921,5.226346176164583,"Major depressive disorder, single episode, unspecified",MBD002,Depressive disorders,Mental/behavioural,"Acute kidney failure, unspecified",GEN002,Acute and unspecified renal failure,Genitourinary,False,False,False,False,False,False,False,False,False,False
E119,Z794,109717,575343,550187,0.015488427476476272,2.45529321496315,0.19069841816099267,0.19941765254358973,0.00918024913668123,0.10800905284732525,3.2461338403236284,0.0037009538161854936,3.1839489507655223,3.3095332469952785,318.1516871349534,5.226346176164583,Type 2 diabetes mellitus without complications,END002,Diabetes mellitus without complication,Endocrine/metabolic,Long term (current) use of insulin,FAC025,Other specified status,Factors/status,False,False,False,False,False,False,False,False,False,False
E039,F419,109359,734506,723719,0.01543788966522935,1.4573229548490823,0.14888782392519598,0.15110699042031506,0.004844568799829224,0.08107476947302401,1.6329751382790787,0.003542012712780029,1.6030239346980169,1.6634859558350394,138.45336792105564,5.226346176164583,"Hypothyroidism, unspecified",END001,Thyroid disorders,Endocrine/metabolic,"Anxiety disorder, unspecified",MBD005,Anxiety and fear-related disorders,Mental/behavioural,False,False,False,False,False,False,False,False,False,False
E871,K219,109271,511228,1192577,0.015425466963023403,1.2696103486806047,0.21374220504354222,0.0916259495194021,0.003275702289906375,0.06852848543837886,1.3774953165637458,0.003569960170903588,1.3520324981122593,1.4034376760946063,89.71160650354447,5.226346176164583,Hypo-osmolality and hyponatremia,END011,Fluid and electrolyte disorders,Endocrine/metabolic,Gastro-esophageal reflux disease without esophagitis,DIG004,Esophageal disorders,Digestive,False,False,False,False,False,False,False,False,False,False
E669,I2510,109222,534192,1067226,0.015418549776567819,1.3571346705970901,0.20446206607362147,0.10234195943502127,0.004057444566733178,0.07319547834198725,1.5001083001754552,0.003568109166431713,1.4723932408131064,1.5283450438909827,113.65608133127525,5.226346176164583,"Obesity, unspecified",END009,Obesity,Endocrine/metabolic,Athscl heart disease of native coronary artery w/o ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Circulatory,False,False,False,False,False,False,False,False,False,False
