code_a,desc_a,code_b,desc_b,n_both,n_a,n_b,support,lift,odds_ratio,or_ci_low,or_ci_high,or_adjusted,confounding_ratio,conf_a_to_b,conf_b_to_a,jaccard,leverage,chapter_a,chapter_b,ccsr_desc_a,ccsr_desc_b,same_chapter,obstetric,hospitals_contributing,pct_of_all_hospitals,top10_share_of_pairs,top10_share_of_discharges,concentration,hospital_dispersed
I5023,Acute on chronic systolic (congestive) heart failure,Z95810,Presence of automatic (implantable) cardiac defibrillator,22271,132164,92506,0.0031439318275983,12.903966858190516,19.856284989249104,19.01639945843352,20.733265223844725,11.481809898187665,1.7293689031015314,0.1685103356435943,0.2407519512247854,0.1100351286320584,0.002900291103614,Circulatory,Factors/status,Heart failure,Unacceptable PDX,False,False,2571,56.28283712784589,0.03637016748237618,0.01320448544249877,2.7543797629037803,True
D61818,Other pancytopenia,I8511,Secondary esophageal varices with bleeding,1003,70286,7450,0.0001415905717336,13.568830885966008,15.741018096063671,13.168042858633084,18.81674090528628,11.478131129846243,1.371392077507528,0.0142702671940357,0.1346308724832214,0.0130712991802744,0.0001311555848933,Blood/immune,Circulatory,Aplastic anemia,Other specified diseases of veins and lymphatics,False,False,697,15.25831873905429,0.05583250249252243,0.011148669394485026,5.007996965103423,True
N12,"Tubulo-interstitial nephritis, not spcf as acute or chronic",N200,Calculus of kidney,1637,26345,39927,0.0002310904944447,11.024284041282916,12.148696481270909,10.603609704346471,13.918922924289255,11.470444575239284,1.0591303939078125,0.062137027899032,0.040999824680041,0.0253268353059487,0.0002101285441194,Genitourinary,Genitourinary,Urinary tract infections,Calculus of urinary tract,True,False,1029,22.526269702276707,0.04092852779474649,0.01067251286561389,3.8349476182516886,True
I132,Hyp hrt & chr kdny dis w hrt fail and w stg 5 chr kdny/ESRD,T827XXA,"Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, init",2172,107646,11239,0.000306614877174,12.71747377474026,15.82618806265968,13.954142603549432,17.94938146403647,11.459367135646628,1.381069990630564,0.0201772476450588,0.1932556277248865,0.0186097521270124,0.0002825051457442,Circulatory,Injury/poisoning,Chronic kidney disease,"Complication of cardiovascular device, implant or graft, initial encounter",False,False,1054,23.07355516637478,0.04696132596685083,0.010593176971980454,4.433167319970785,True
R6521,Severe sepsis with septic shock,T80211A,"Bloodstream infection due to central venous catheter, init",1681,122730,9531,0.0002373018455476,10.17993739769251,12.303335530177636,10.682583343937443,14.169986818220126,11.457715040649749,1.0738035888069997,0.0136967326652,0.1763718392613577,0.0128733343544187,0.0002139911083322,Symptoms/signs,Injury/poisoning,Unacceptable PDX,"Complication of other surgical or medical care, injury, initial encounter",False,False,887,19.41768826619965,0.06662700773349196,0.010331594390302951,6.448860187158226,True
S0181XA,"Laceration w/o foreign body of oth part of head, init encntr",W1830XA,"Fall on same level, unspecified, initial encounter",1463,13869,56189,0.0002065274241738,13.298861789941174,15.121207742885932,13.06475582656271,17.50135453267562,11.457042587068294,1.3198177128147737,0.1054870574662917,0.0260371247041235,0.0213280851374006,0.0001909977173887,Injury,External cause,"Open wounds of head and neck, initial encounter",Unacceptable PDX,False,False,826,18.08231173380035,0.05673274094326726,0.009830027788737832,5.7713713696990165,True
R1319,Other dysphagia,Z931,Gastrostomy status,549,6039,56316,7.750072171664805e-05,11.435156487095544,12.6018823026689,9.96370157329311,15.938598361475416,11.456944624786994,1.0999339453386938,0.0909090909090909,0.0097485616876198,0.0088826327541015,7.072331365895274e-05,Symptoms/signs,Factors/status,Dysphagia,Unacceptable PDX,False,False,391,8.55954465849387,0.11839708561020036,0.0043029134765849705,27.515562712213033,False
K766,Portal hypertension,K920,Hematemesis,2463,55750,24259,0.000347694494696,12.900699025852733,14.860269234818892,13.267276691002904,16.644531268504963,11.456789692621754,1.2970709625916412,0.0441793721973094,0.1015293293210767,0.0317617930002837,0.0003207428935463,Digestive,Digestive,Other specified and unspecified liver disease,Gastrointestinal hemorrhage,True,False,1095,23.971103327495623,0.05805927730410069,0.012398703803958466,4.682689273177445,True
C3432,"Malignant neoplasm of lower lobe, left bronchus or lung",C7951,Secondary malignant neoplasm of bone,760,5213,66237,0.0001072869735968,15.591640434126818,18.29012459304995,14.88383969502834,22.475964837288146,11.440118443384426,1.598770561997698,0.145789372722041,0.0114739496052055,0.0107511670674777,0.0001004059161449,Neoplasm,Neoplasm,Respiratory cancers,Secondary malignancies,True,False,505,11.055166374781086,0.09868421052631579,0.009451417705597487,10.441207192426939,True
E441,Mild protein-calorie malnutrition,Z6822,"Body mass index [BMI] 22.0-22.9, adult",982,27420,18564,0.0001386260632527,13.665926329573518,14.876952030042084,12.496903147616754,17.7102838271081,11.439619949106786,1.3004760731761624,0.0358132749817651,0.052898082309847,0.0218212523887827,0.0001284821432644,Endocrine/metabolic,Factors/status,Malnutrition,Unacceptable PDX,False,False,530,11.60245183887916,0.1384928716904277,0.009583691250676719,14.450890379074817,True
I8511,Secondary esophageal varices with bleeding,R188,Other ascites,1079,7450,75742,0.0001523192690933,13.545498760451189,15.888234762071033,13.36300074837867,18.89066749362491,11.437220595320795,1.3891692155147588,0.1448322147651006,0.0142457289218663,0.0131404284339873,0.0001410742590876,Circulatory,Symptoms/signs,Other specified diseases of veins and lymphatics,Abdominal pain and other digestive/abdomen signs and symptoms,False,False,685,14.995621716287216,0.06765523632993513,0.014890161431603495,4.54362007025262,True
G800,Spastic quadriplegic cerebral palsy,N319,"Neuromuscular dysfunction of bladder, unspecified",503,6062,42860,7.100703647263018e-05,13.71407385389088,15.04254716553124,11.779004673855352,19.210300996779345,11.435798029871394,1.315391118856653,0.0829759155394259,0.0117358842743817,0.0103884838596418,6.582936007762634e-05,Nervous,Genitourinary,Cerebral palsy,Other specified and unspecified diseases of bladder and urethra,False,False,276,6.042031523642732,0.19284294234592445,0.006811169985622134,28.312748434263327,False
E10621,Type 1 diabetes mellitus with foot ulcer,L03116,Cellulitis of left lower limb,687,4055,97414,9.698177744870163e-05,12.320011109992445,14.73430620975229,11.831944072534402,18.34861440789773,11.428419889579477,1.2892688886227526,0.1694204685573366,0.0070523744020366,0.0068166934571649,8.910988702726832e-05,Endocrine/metabolic,Skin,Diabetes mellitus with complication,Skin and subcutaneous tissue infections,False,False,553,12.105954465849386,0.0611353711790393,0.0066012545517557305,9.261174629719312,True
H532,Diplopia,R42,Dizziness and giddiness,967,11785,47097,0.0001365085571948,12.341565163958236,13.620628234875545,11.410311554210477,16.259110247014274,11.426932593754165,1.191975897566809,0.0820534577853203,0.0205320933392785,0.01669688336355,0.000125447678337,Eye/ear,Symptoms/signs,Blindness and vision defects,General sensation/perception signs and symptoms,False,False,671,14.689141856392295,0.05894519131334023,0.012286052481681808,4.797732339270568,True
G935,Compression of brain,J9600,"Acute respiratory failure, unsp w hypoxia or hypercapnia",1982,21631,54625,0.0002797931337748,11.882346166675148,13.43401807565347,11.852364632483454,15.22673721683917,11.42671479540918,1.1756675751678645,0.0916277564606352,0.0362837528604119,0.0266849772464119,0.0002562461734481,Nervous,Respiratory,Other nervous system disorders (neither hereditary nor degenerative),Respiratory failure; insufficiency; arrest,False,False,666,14.57968476357268,0.11099899091826437,0.011928052790837692,9.305709227203131,True
E1121,Type 2 diabetes mellitus with diabetic nephropathy,N185,"Chronic kidney disease, stage 5",1655,51045,16367,0.0002336315017141,14.03273439456413,15.988791960919496,13.934446827269385,18.3460076699478,11.425273536078157,1.3994231219437234,0.0324223724164952,0.101118103500947,0.0251684231336587,0.0002169824656,Endocrine/metabolic,Genitourinary,Diabetes mellitus with complication,Chronic kidney disease,False,False,944,20.665499124343256,0.053172205438066465,0.009373069981457705,5.672869779405733,True
E874,Mixed disorder of acid-base balance,I469,"Cardiac arrest, cause unspecified",1863,32161,30930,0.0002629942523827,13.266916276682746,14.85925817196331,13.067911406753018,16.89616240487813,11.423225651387554,1.3007935433857414,0.0579273032554957,0.0602327837051406,0.0304272555040177,0.0002431709379893,Endocrine/metabolic,Circulatory,Fluid and electrolyte disorders,Cardiac arrest and ventricular fibrillation,False,False,982,21.49737302977233,0.045625335480407946,0.009799112200293487,4.6560682792305865,True
G8194,"Hemiplegia, unspecified affecting left nondominant side",R4701,Aphasia,4648,40461,59712,0.0006561445437868,13.62807412324832,16.47269653626178,15.138082406885964,17.924973842944603,11.42260226069612,1.4421141663088857,0.1148760534836015,0.0778403001071811,0.0486574195236849,0.0006079980090782,Nervous,Symptoms/signs,Paralysis (other than cerebral palsy),Nervous system signs and symptoms,False,False,1437,31.45796847635727,0.049268502581755594,0.012352401004827209,3.9885770031673924,True
